название;тип_лофт;телефон;сайт;ссылка
Loft LEVEL 19 на заводе Кристалл. Крыша для вечеринок;Лофт, вечеринка, 170 м², 150 человек;;N/A;https://www.reveltime.ru/venue/221315?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 1. Хорошо оборудованный лофт;Лофт, вечеринка, 85 м², 40 человек;+79584974039;N/A;https://www.reveltime.ru/venue/201724?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 10. Дизайнерская площадка;Лофт, вечеринка, 110 м², 50 человек;+79910173255;N/A;https://www.reveltime.ru/venue/6734234?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 11;Лофт, вечеринка, 100 м², 60 человек;+79019317685;N/A;https://www.reveltime.ru/venue/7698450?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 2. Лофт;Лофт, вечеринка, 107 м², 40 человек;+79584974039;N/A;https://www.reveltime.ru/venue/4522925?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 3. Двухуровневый лофт с двориком;Лофт, вечеринка, 112 м², 40 человек;+79386989873;N/A;https://www.reveltime.ru/venue/4522931?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 4. Двухэтажный лофт;Лофт, вечеринка, 100 м², 40 человек;+79584974084;N/A;https://www.reveltime.ru/venue/2822352?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 5. Стильное пространство;Лофт, вечеринка, 200 м², 60 человек;+79584974064;N/A;https://www.reveltime.ru/venue/2241775?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 6;Лофт, вечеринка, 104 м², 45 человек;+79346691548;N/A;https://www.reveltime.ru/venue/4231354?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 7. Просторный уютный лофт;Лофт, вечеринка, 190 м², 60 человек;+79584974150;N/A;https://www.reveltime.ru/venue/4755850?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 8. Яркий зал;Лофт, вечеринка, 80 м², 40 человек;+79584630738;N/A;https://www.reveltime.ru/venue/5127214?eventtype=vecherinka
Loft Lodge (Лофт Лодж) 9;Лофт, вечеринка, 80 м², 40 человек;+79584611054;N/A;https://www.reveltime.ru/venue/6579635?eventtype=vecherinka
Loft Premier (Лофт Премьер);Лофт, вечеринка, 110 м², 50 человек;+79586097164;N/A;https://www.reveltime.ru/venue/5265368?eventtype=vecherinka
Loft Provans. Авиньон;Лофт, вечеринка, 70 м², 35 человек;+79652298948;N/A;https://www.reveltime.ru/venue/2297471?eventtype=vecherinka
Loft Provans. Эвено. Стильный лофт;Лофт, вечеринка, 100 м², 70 человек;+79099682403;N/A;https://www.reveltime.ru/venue/2433004?eventtype=vecherinka
Loft Red Star Двухэтажный лофт в светлых тонах;Лофт, вечеринка, 120 м², 40 человек;+74951464485;N/A;https://www.reveltime.ru/venue/2782564?eventtype=vecherinka
Loft The Place (Лофт Зе Плейс). Авторский лофт;Лофт, вечеринка, 200 м², 110 человек;+79584974089;N/A;https://www.reveltime.ru/venue/2806962?eventtype=vecherinka
Loft The Place (Лофт Зе Плейс). Лофт с двумя залами;Лофт, вечеринка, 0 м², 10 человек;;N/A;https://www.reveltime.ru/venue/2389292?eventtype=vecherinka
Loft YesNot (Лофт ЙесНот). Двухэтажный лофт для различных мероприятий;Лофт, вечеринка, 241 м², 190 человек;+79584974208;N/A;https://www.reveltime.ru/venue/5435975?eventtype=vecherinka
Loft YesNot (Лофт ЙесНот). Пространство с кирпичной стеной;Лофт, вечеринка, 110 м², 70 человек;+79813347290;N/A;https://www.reveltime.ru/venue/5438012?eventtype=vecherinka
Loft Зазеркалье. Веранда. Лофт в теплых тонах;Лофт, вечеринка, 64 м², 25 человек;+79584974206;N/A;https://www.reveltime.ru/venue/4872287?eventtype=vecherinka
Loft МО Трехуровневый Лофт;Лофт, вечеринка, 250 м², 250 человек;;N/A;https://www.reveltime.ru/venue/253786?eventtype=vecherinka
Loft-Hall Viva (Лофт-Холл Вива);Лофт, вечеринка, 200 м², 150 человек;;N/A;https://www.reveltime.ru/venue/4437141?eventtype=vecherinka
LOFT-STUDIO 22. Арт-пространство;Лофт, вечеринка, 80 м², 30 человек;;N/A;https://www.reveltime.ru/venue/494628?eventtype=vecherinka
loftblackout (Лофт Блэкаут). Медный премиальный лофт;Лофт, вечеринка, 135 м², 65 человек;+79346644195;N/A;https://www.reveltime.ru/venue/3975661?eventtype=vecherinka
Loftblackout. Эксклюзивный черный лофт с летней террасой;Лофт, вечеринка, 130 м², 50 человек;;N/A;https://www.reveltime.ru/venue/309193?eventtype=vecherinka
LoftForParty (Лофт фор пати). Bad Girl (Плохая девочка);Лофт, вечеринка, 40 м², 20 человек;+79346642952;N/A;https://www.reveltime.ru/venue/4233319?eventtype=vecherinka
LoftForParty (Лофт фор пати). Cyberpunk (Киберпанк);Лофт, вечеринка, 85 м², 30 человек;+79584974215;N/A;https://www.reveltime.ru/venue/6540083?eventtype=vecherinka
LoftForParty (Лофт фор пати). Gallery (Галерея);Лофт, вечеринка, 90 м², 35 человек;+79584974039;N/A;https://www.reveltime.ru/venue/6542801?eventtype=vecherinka
LoftForParty (Лофт фор пати). Moon (Луна);Лофт, вечеринка, 40 м², 20 человек;+79584973975;N/A;https://www.reveltime.ru/venue/6542974?eventtype=vecherinka
LoftForParty (Лофт фор пати). SPACE HALL (Космический зал);Лофт, вечеринка, 70 м², 30 человек;+79584974039;N/A;https://www.reveltime.ru/venue/6542838?eventtype=vecherinka
LoftForParty (Лофт фор пати). Sun Loft (Лофт Солнце);Лофт, вечеринка, 40 м², 20 человек;+79584973975;N/A;https://www.reveltime.ru/venue/6542885?eventtype=vecherinka
LoftForParty (Лофт фор пати). West Side (Западная сторона);Лофт, вечеринка, 120 м², 70 человек;+79019317643;N/A;https://www.reveltime.ru/venue/4227962?eventtype=vecherinka
LoftForParty (Лофт фор пати). West Side Vip (Запад Вип);Лофт, вечеринка, 40 м², 20 человек;+79346691548;N/A;https://www.reveltime.ru/venue/4227901?eventtype=vecherinka
Lounge Stars Air;Лофт, вечеринка, 60 м², 30 человек;;N/A;https://www.reveltime.ru/venue/2826293?eventtype=vecherinka
Lounge Караоке-бар Яблоко;Лофт, вечеринка, 210 м², 80 человек;;N/A;https://www.reveltime.ru/venue/2122127?eventtype=vecherinka
Lounge ЧБ Кафе-кальянная под закрытие;Лофт, вечеринка, 121 м², 40 человек;;N/A;https://www.reveltime.ru/venue/2948096?eventtype=vecherinka
Lounge-лофт;Лофт, вечеринка, 40 м², 20 человек;+74991107697;N/A;https://www.reveltime.ru/venue/3128153?eventtype=vecherinka
Meduzzza lounge зона;Лофт, вечеринка, 14 м², 10 человек;;N/A;https://www.reveltime.ru/venue/3107695?eventtype=vecherinka
MLN Укомплектованный лофт для мероприятий;Лофт, вечеринка, 140 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3419076?eventtype=vecherinka
Molecule loft (Молекула лофт);Лофт, вечеринка, 430 м², 200 человек;+79584974064;N/A;https://www.reveltime.ru/venue/7108886?eventtype=vecherinka
Molecule loft (Молекула лофт). Современный лофт-зал для различных событий;Лофт, вечеринка, 130 м², 50 человек;+79584974206;N/A;https://www.reveltime.ru/venue/7341371?eventtype=vecherinka
Monopoly Red October.Игровой Party-Loft;Лофт, вечеринка, 164 м², 60 человек;;N/A;https://www.reveltime.ru/venue/2960444?eventtype=vecherinka
Moonlight Loft Стильное арт-пространство;Лофт, вечеринка, 200 м², 100 человек;;N/A;https://www.reveltime.ru/venue/2289813?eventtype=vecherinka
Moonlight Loft. Клубный лофт;Лофт, вечеринка, 170 м², 60 человек;;N/A;https://www.reveltime.ru/venue/2719860?eventtype=vecherinka
Moscow English Club Аудитория с большим окном;Лофт, вечеринка, 54 м², 20 человек;;N/A;https://www.reveltime.ru/venue/597319?eventtype=vecherinka
Moscow English Club Двухуровневый зал;Лофт, вечеринка, 33 м², 25 человек;;N/A;https://www.reveltime.ru/venue/433158?eventtype=vecherinka
Multiroom. Лофт-студия;Лофт, вечеринка, 290 м², 200 человек;+79584974039;N/A;https://www.reveltime.ru/venue/746367?eventtype=vecherinka
Na Palm (Напалм) . Тропический лофт с играми;Лофт, вечеринка, 140 м², 100 человек;+79346644195;N/A;https://www.reveltime.ru/venue/8860096?eventtype=vecherinka
NEON Bar. Лофт с неоновой подсветкой;Лофт, вечеринка, 200 м², 200 человек;;N/A;https://www.reveltime.ru/venue/3038805?eventtype=vecherinka
Nii Дизайнерский лофт для мероприятий;Лофт, вечеринка, 110 м², 60 человек;;N/A;https://www.reveltime.ru/venue/2113424?eventtype=vecherinka
Nii Универсальный лофт с зеркальной стеной;Лофт, вечеринка, 150 м², 60 человек;;N/A;https://www.reveltime.ru/venue/2752532?eventtype=vecherinka
Norka studio Светлая лофт-студия с баром на Студенческой;Лофт, вечеринка, 50 м², 30 человек;;N/A;https://www.reveltime.ru/venue/1022276?eventtype=vecherinka
Norka studio. Уютный двухуровневый лофт;Лофт, вечеринка, 120 м², 80 человек;;N/A;https://www.reveltime.ru/venue/641642?eventtype=vecherinka
Norrlandloft (Норрланд Лофт) в скандинавском стиле;Лофт, вечеринка, 80 м², 50 человек;+79346695974;N/A;https://www.reveltime.ru/venue/292882?eventtype=vecherinka
Oh, my deer! Кальянное пространство;Лофт, вечеринка, 111 м², 70 человек;;N/A;https://www.reveltime.ru/venue/286571?eventtype=vecherinka
OMEGA LOFT (Омега лофт);Лофт, вечеринка, 120 м², 50 человек;+79346695974;https://omegaloft.ru;https://www.reveltime.ru/venue/6529495?eventtype=vecherinka
Only You (Только Ты). Белый лофт;Лофт, вечеринка, 150 м², 80 человек;+79584974208;N/A;https://www.reveltime.ru/venue/277459?eventtype=vecherinka
OtScan Lounge Лофт с необычным дизайном на Чистых прудах;Лофт, вечеринка, 60 м², 25 человек;;N/A;https://www.reveltime.ru/venue/3974408?eventtype=vecherinka
P17 Place (Плэйс). Стилизованный лофт в сине-розовых оттенках;Лофт, вечеринка, 89 м², 70 человек;+79386982643;N/A;https://www.reveltime.ru/venue/3902495?eventtype=vecherinka
Panacea LOFT. Дерзкое пространство;Лофт, вечеринка, 250 м², 320 человек;;N/A;https://www.reveltime.ru/venue/3709115?eventtype=vecherinka
Party Hard (Пати Хард). Загадочный лофт-зал;Лофт, вечеринка, 14 м², 8 человек;;N/A;https://www.reveltime.ru/venue/6295849?eventtype=vecherinka
Party Hard (Пати Хард). Лавандовый лофт-зал;Лофт, вечеринка, 14 м², 8 человек;;N/A;https://www.reveltime.ru/venue/6296918?eventtype=vecherinka
Party Hard (Пати Хард). Лофт в стиле популярного сериала;Лофт, вечеринка, 60 м², 45 человек;;N/A;https://www.reveltime.ru/venue/4431930?eventtype=vecherinka
Party Hard (Пати Хард). Лофт с голивудскими актёрами;Лофт, вечеринка, 25 м², 20 человек;;N/A;https://www.reveltime.ru/venue/4436174?eventtype=vecherinka
Party Hard (Пати Хард). Лофт-зал в бруклинском стиле;Лофт, вечеринка, 18 м², 10 человек;;N/A;https://www.reveltime.ru/venue/6303220?eventtype=vecherinka
Party Hard (Пати Хард). Лофт-зал в космическом стиле;Лофт, вечеринка, 9 м², 5 человек;;N/A;https://www.reveltime.ru/venue/6302652?eventtype=vecherinka
Party Hard (Пати Хард). Лофт-зал в пляжном стиле;Лофт, вечеринка, 28 м², 20 человек;;N/A;https://www.reveltime.ru/venue/4436052?eventtype=vecherinka
Party Hard (Пати Хард). Лофт-зал в современном стиле;Лофт, вечеринка, 18 м², 13 человек;;N/A;https://www.reveltime.ru/venue/6302976?eventtype=vecherinka
Party Hard (Пати Хард). Лофт-зал в стиле рок-н-ролл;Лофт, вечеринка, 30 м², 22 человек;+74952781824;N/A;https://www.reveltime.ru/venue/4436169?eventtype=vecherinka
Party Hard (Пати Хард). Лофт-зал в японском стиле;Лофт, вечеринка, 22 м², 16 человек;;N/A;https://www.reveltime.ru/venue/6296935?eventtype=vecherinka
Party Hard (Пати Хард). Лофт-зал с героями комиксов;Лофт, вечеринка, 16 м², 10 человек;;N/A;https://www.reveltime.ru/venue/6303291?eventtype=vecherinka
Party Hard (Пати Хард). Подводный лофт-зал;Лофт, вечеринка, 10 м², 6 человек;;N/A;https://www.reveltime.ru/venue/6299755?eventtype=vecherinka
Party Hard (Пати Хард). Роскошный лофт-зал;Лофт, вечеринка, 51 м², 38 человек;;N/A;https://www.reveltime.ru/venue/4436047?eventtype=vecherinka
Party Hard (Пати Хард). Экзотичный светлый лофт;Лофт, вечеринка, 30 м², 20 человек;;N/A;https://www.reveltime.ru/venue/4436103?eventtype=vecherinka
Photoparadise (Фоторай). Универсальный лофт для неформальной вечеринки;Лофт, вечеринка, 125 м², 55 человек;;N/A;https://www.reveltime.ru/venue/211522?eventtype=vecherinka
Photoparadise (Фоторай). Уютный лофт с кирпичными стенами;Лофт, вечеринка, 50 м², 20 человек;;N/A;https://www.reveltime.ru/venue/244730?eventtype=vecherinka
POD (Под) гаражом. Дизайнерский лофт;Лофт, вечеринка, 120 м², 70 человек;+79584974160;N/A;https://www.reveltime.ru/venue/8776992?eventtype=vecherinka
Portal Hall. Двухэтажный стилизованный лофт;Лофт, вечеринка, 650 м², 250 человек;+74951570268;N/A;https://www.reveltime.ru/venue/3327149?eventtype=vecherinka
PrivateZone (ПриватнаяЗона). Пространство для мероприятий с кухней;Лофт, вечеринка, 60 м², 20 человек;+79584055346;N/A;https://www.reveltime.ru/venue/2363608?eventtype=vecherinka
Proloft (Пролофт);Лофт, вечеринка, 90 м², 35 человек;+79346608162;N/A;https://www.reveltime.ru/venue/6209514?eventtype=vecherinka
Prostranstvo (Пространство). Большой лофт;Лофт, вечеринка, 150 м², 70 человек;+79346695974;N/A;https://www.reveltime.ru/venue/4119721?eventtype=vecherinka
Prostranstvo (Пространство). Зал Антресоль;Лофт, вечеринка, 130 м², 40 человек;;N/A;https://www.reveltime.ru/venue/3746752?eventtype=vecherinka
Prostranstvo (Пространство). Зал Квартира;Лофт, вечеринка, 100 м², 70 человек;+79584974226;N/A;https://www.reveltime.ru/venue/4112008?eventtype=vecherinka
Prostranstvo (Пространство). Лофт с высокими потолками;Лофт, вечеринка, 100 м², 40 человек;+79584974064;N/A;https://www.reveltime.ru/venue/4119598?eventtype=vecherinka
Prostranstvo (Пространство). Светлая фотостудия;Лофт, вечеринка, 155 м², 100 человек;+79584974331;N/A;https://www.reveltime.ru/venue/4465437?eventtype=vecherinka
Prostranstvo (Пространство). Фотостудия;Лофт, вечеринка, 70 м², 40 человек;+79910173255;N/A;https://www.reveltime.ru/venue/3768105?eventtype=vecherinka
"Psy game &amp; lounge (Псай игры и лаундж). Отдельная комната";Лофт, вечеринка, 20 м², 15 человек;+79676932714;N/A;https://www.reveltime.ru/venue/5414206?eventtype=vecherinka
PSY.LOFT (Псай Лофт);Лофт, вечеринка, 70 м², 30 человек;;N/A;https://www.reveltime.ru/venue/1074027?eventtype=vecherinka
Rebus. Стильный лофт для любых мероприятий;Лофт, вечеринка, 93 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3800827?eventtype=vecherinka
Rii Lee Loft. Стилизованный лофт с качелями;Лофт, вечеринка, 150 м², 70 человек;;N/A;https://www.reveltime.ru/venue/4277307?eventtype=vecherinka
Rii Lee Loft. Уютная лофт-комната;Лофт, вечеринка, 27 м², 15 человек;;N/A;https://www.reveltime.ru/venue/4557473?eventtype=vecherinka
River Loft (Река Лофт). Просторный лофт;Лофт, вечеринка, 130 м², 50 человек;+79584630738;N/A;https://www.reveltime.ru/venue/5090158?eventtype=vecherinka
Scarface Lounge (Скарфейс Лаунж);Лофт, вечеринка, 0 м², 45 человек;;N/A;https://www.reveltime.ru/venue/4848802?eventtype=vecherinka
Scarface Lounge Novoslobodka Лофт в центре Москвы;Лофт, вечеринка, 162 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3530958?eventtype=vecherinka
Shisha lounge room (Кальянная комната) № 257;Лофт, вечеринка, 80 м², 30 человек;+79584974089;N/A;https://www.reveltime.ru/venue/6435477?eventtype=vecherinka
Simple Point Лофт из белого кирпича;Лофт, вечеринка, 50 м², 30 человек;;N/A;https://www.reveltime.ru/venue/639485?eventtype=vecherinka
SIMPLE. VIP 1 (СИМПЛ. ВИП 1). Лофт на мансардном этаже с покерным столом;Лофт, вечеринка, 20 м², 9 человек;+79676928564;N/A;https://www.reveltime.ru/venue/5292784?eventtype=vecherinka
SIMPLE. VIP 1 (СИМПЛ. ВИП 1). Неоновый лофт на мансардном этаже;Лофт, вечеринка, 20 м², 8 человек;+79676928674;N/A;https://www.reveltime.ru/venue/5292838?eventtype=vecherinka
SIMPLE. VIP 4 (СИМПЛ. ВИП 4). Неоновый лофт с покерным столом;Лофт, вечеринка, 42 м², 25 человек;+79584974167;N/A;https://www.reveltime.ru/venue/6318106?eventtype=vecherinka
Slam Space Лаундж-пространство с кафе;Лофт, вечеринка, 100 м², 40 человек;;N/A;https://www.reveltime.ru/venue/3145246?eventtype=vecherinka
SOK SPACE (Сок Пространство). Баум Холл;Лофт, вечеринка, 256 м², 100 человек;+79584974167;N/A;https://www.reveltime.ru/venue/7553164?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Астрид;Лофт, вечеринка, 154 м², 70 человек;+79584610759;N/A;https://www.reveltime.ru/venue/9067913?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Бурбон;Лофт, вечеринка, 60 м², 30 человек;+79346692796;N/A;https://www.reveltime.ru/venue/7636362?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Май;Лофт, вечеринка, 135 м², 50 человек;+79346692796;N/A;https://www.reveltime.ru/venue/9166956?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Марти;Лофт, вечеринка, 77 м², 40 человек;+79346691548;N/A;https://www.reveltime.ru/venue/7845287?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт МОЙ ПЕРВЫЙ;Лофт, вечеринка, 70 м², 40 человек;+79346695974;N/A;https://www.reveltime.ru/venue/8966592?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Новый;Лофт, вечеринка, 90 м², 30 человек;+79584974150;N/A;https://www.reveltime.ru/venue/7551344?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Нуар;Лофт, вечеринка, 100 м², 40 человек;+79584974160;N/A;https://www.reveltime.ru/venue/7552482?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Октябрь;Лофт, вечеринка, 126 м², 50 человек;+79584974206;N/A;https://www.reveltime.ru/venue/9226473?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Рассвет;Лофт, вечеринка, 120 м², 50 человек;+79584974139;N/A;https://www.reveltime.ru/venue/7553049?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Сенди;Лофт, вечеринка, 67 м², 35 человек;+79676928564;N/A;https://www.reveltime.ru/venue/8673649?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Сладкий;Лофт, вечеринка, 34 м², 20 человек;+79346642952;N/A;https://www.reveltime.ru/venue/7947713?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Сочный;Лофт, вечеринка, 194 м², 80 человек;+79019317588;N/A;https://www.reveltime.ru/venue/7608571?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Флоу;Лофт, вечеринка, 151 м², 60 человек;+79676928564;N/A;https://www.reveltime.ru/venue/8665632?eventtype=vecherinka
SOK SPACE (Сок Пространство). Лофт Шекспир;Лофт, вечеринка, 63 м², 30 человек;+79584055346;N/A;https://www.reveltime.ru/venue/9140384?eventtype=vecherinka
SoldOut Lофт (Солдаут Лофт). Лофт с панорамными окнами;Лофт, вечеринка, 160 м², 80 человек;+79893636021;N/A;https://www.reveltime.ru/venue/3372282?eventtype=vecherinka
Soul lounge. Авторский бар;Лофт, вечеринка, 150 м², 130 человек;;N/A;https://www.reveltime.ru/venue/4137196?eventtype=vecherinka
Soulful Loft (Соулфул Лофт). Стильное лофт-пространство;Лофт, вечеринка, 110 м², 50 человек;+79386982643;N/A;https://www.reveltime.ru/venue/2146836?eventtype=vecherinka
Soulfulloft Лофт в бизнес-центре;Лофт, вечеринка, 112 м², 80 человек;+79774984998;N/A;https://www.reveltime.ru/venue/281170?eventtype=vecherinka
SOULFULLOFT. Открытое loft-пространство;Лофт, вечеринка, 90 м², 40 человек;;N/A;https://www.reveltime.ru/venue/454450?eventtype=vecherinka
Space Loft Лофт с проектором и неоновыми фигурами;Лофт, вечеринка, 40 м², 20 человек;;N/A;https://www.reveltime.ru/venue/3189837?eventtype=vecherinka
Street Art Loft (Стрит-Арт Лофт);Лофт, вечеринка, 125 м², 35 человек;+79346644195;N/A;https://www.reveltime.ru/venue/697622?eventtype=vecherinka
Surf House (Сёрф Хаус). Двухуровневая тематическая студия;Лофт, вечеринка, 90 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3569640?eventtype=vecherinka
Surf House (Сёрф Хаус). Лофт с территорией под открытым небом;Лофт, вечеринка, 450 м², 150 человек;+79910172413;N/A;https://www.reveltime.ru/venue/3569923?eventtype=vecherinka
Sаnsаra Lоft (Сансара Лофт). Зал BREEZE (Бриз);Лофт, вечеринка, 58 м², 28 человек;+79019317663;N/A;https://www.reveltime.ru/venue/8731133?eventtype=vecherinka
Sаnsаra Lоft (Сансара Лофт). Зал Glam (Гламур);Лофт, вечеринка, 24 м², 15 человек;+79019317663;N/A;https://www.reveltime.ru/venue/8733270?eventtype=vecherinka
Sаnsаra Lоft (Сансара Лофт). Зал Grand (Великий);Лофт, вечеринка, 61 м², 38 человек;+79019317663;N/A;https://www.reveltime.ru/venue/8730934?eventtype=vecherinka
Sаnsаra Lоft (Сансара Лофт). Зал Gray (Серый);Лофт, вечеринка, 45 м², 18 человек;+79019317663;N/A;https://www.reveltime.ru/venue/8731099?eventtype=vecherinka
Sаnsаra Lоft (Сансара Лофт). Зал Happy (Счастливый);Лофт, вечеринка, 36 м², 18 человек;+79019317663;N/A;https://www.reveltime.ru/venue/8730924?eventtype=vecherinka
Sаnsаra Lоft (Сансара Лофт). Зал LOFT (Лофт);Лофт, вечеринка, 52 м², 24 человек;+79019317663;N/A;https://www.reveltime.ru/venue/8769731?eventtype=vecherinka
Taganka Loft. Дизайнерский лофт;Лофт, вечеринка, 100 м², 50 человек;;N/A;https://www.reveltime.ru/venue/5456041?eventtype=vecherinka
Take your Time Loft Многофункциональное пространство;Лофт, вечеринка, 240 м², 100 человек;;N/A;https://www.reveltime.ru/venue/4500680?eventtype=vecherinka
TelePort360° (ТелеПорт360°). Зеркальный лофт;Лофт, вечеринка, 48 м², 20 человек;;N/A;https://www.reveltime.ru/venue/3618769?eventtype=vecherinka
TelePort360° (ТелеПорт360°). Лофт;Лофт, вечеринка, 32 м², 12 человек;+79584974331;N/A;https://www.reveltime.ru/venue/2231681?eventtype=vecherinka
TelePort360° (ТелеПорт360°). Лофт в торговом центре;Лофт, вечеринка, 42 м², 15 человек;+79584611054;N/A;https://www.reveltime.ru/venue/2661440?eventtype=vecherinka
TelePort360° (ТелеПорт360°). Лофт-студия в ТЦ;Лофт, вечеринка, 50 м², 20 человек;+79584974160;N/A;https://www.reveltime.ru/venue/3101788?eventtype=vecherinka
Tesla Lounge Кальянная с квестами;Лофт, вечеринка, 50 м², 40 человек;;N/A;https://www.reveltime.ru/venue/343536?eventtype=vecherinka
Tesla Lounge Мини-лофт с настольным футболом;Лофт, вечеринка, 30 м², 20 человек;;N/A;https://www.reveltime.ru/venue/347338?eventtype=vecherinka
The Gallery Loft (Лофт Галерея);Лофт, вечеринка, 65 м², 20 человек;+79584974228;N/A;https://www.reveltime.ru/venue/8733987?eventtype=vecherinka
"The Loft cafe &amp; lobby bar (Зе Лофт кафе &amp; лобби бар)";Лофт, вечеринка, 56 м², 40 человек;;N/A;https://www.reveltime.ru/venue/482076?eventtype=vecherinka
The Museum Studio Белый классический лофт с камином;Лофт, вечеринка, 100 м², 50 человек;;N/A;https://www.reveltime.ru/venue/550194?eventtype=vecherinka
Time Club (Клуб Времени) Гнездо. Зал Лаунж;Лофт, вечеринка, 14 м², 9 человек;+79584055346;N/A;https://www.reveltime.ru/venue/8694069?eventtype=vecherinka
Time Club (Клуб Времени) Камин. Кинозал;Лофт, вечеринка, 48 м², 35 человек;+79584055346;N/A;https://www.reveltime.ru/venue/8694133?eventtype=vecherinka
Treff8 Club (Трефф8 Клуб). Двухуровневый клуб под закрытие;Лофт, вечеринка, 570 м², 500 человек;+79584974331;N/A;https://www.reveltime.ru/venue/6494840?eventtype=vecherinka
Under (Под). Лаундж пространство;Лофт, вечеринка, 100 м², 34 человек;+79019397094;N/A;https://www.reveltime.ru/venue/4854211?eventtype=vecherinka
Under (Под). Отдельный зал в лофте;Лофт, вечеринка, 45 м², 25 человек;+79346657019;N/A;https://www.reveltime.ru/venue/4626506?eventtype=vecherinka
Unic Space. Арт-пространство;Лофт, вечеринка, 102 м², 45 человек;;N/A;https://www.reveltime.ru/venue/1668370?eventtype=vecherinka
Verde Loft (Верде Лофт);Лофт, вечеринка, 70 м², 35 человек;+79584974084;N/A;https://www.reveltime.ru/venue/8671627?eventtype=vecherinka
VG Studios Светлый зал в скандинавском стиле;Лофт, вечеринка, 56 м², 20 человек;+79661277115;N/A;https://www.reveltime.ru/venue/1368765?eventtype=vecherinka
VibesLoft (ВайбсЛофт);Лофт, вечеринка, 50 м², 30 человек;+79019397046;N/A;https://www.reveltime.ru/venue/6557986?eventtype=vecherinka
VibesLoft (ВайбсЛофт);Лофт, вечеринка, 50 м², 30 человек;+79584974150;N/A;https://www.reveltime.ru/venue/6351007?eventtype=vecherinka
VibesLoft (ВайбсЛофт). Лофт Purple (Пурпурный);Лофт, вечеринка, 50 м², 35 человек;+79584974139;N/A;https://www.reveltime.ru/venue/6402289?eventtype=vecherinka
VibesLoft (ВайбсЛофт). Лофт Луна;Лофт, вечеринка, 50 м², 35 человек;+79584974167;N/A;https://www.reveltime.ru/venue/6350795?eventtype=vecherinka
VibesLoft (ВайбсЛофт). Розовый лофт-зал;Лофт, вечеринка, 30 м², 16 человек;+79584974150;N/A;https://www.reveltime.ru/venue/6350992?eventtype=vecherinka
Viola Left (Виола Левый лофт). Уникальное пространство для мероприятий;Лофт, вечеринка, 80 м², 40 человек;+79676928674;N/A;https://www.reveltime.ru/venue/7734623?eventtype=vecherinka
Viola Loft (Виола Лофт). Просторный и светлый лофт с панорамным видом в парк;Лофт, вечеринка, 300 м², 200 человек;+79586097164;N/A;https://www.reveltime.ru/venue/7735174?eventtype=vecherinka
Voronin Loft (Воронин Лофт). Лофт-особняк;Лофт, вечеринка, 150 м², 60 человек;+79346642952;N/A;https://www.reveltime.ru/venue/3971131?eventtype=vecherinka
Voronin Loft (Воронин Лофт). Стильный лофт;Лофт, вечеринка, 240 м², 150 человек;+79584974331;N/A;https://www.reveltime.ru/venue/6498017?eventtype=vecherinka
Vr Home (Вр Хоум). Лофт;Лофт, вечеринка, 25 м², 12 человек;+79852491213;N/A;https://www.reveltime.ru/venue/3325310?eventtype=vecherinka
VR Home Эксклюзивный уютный лофт с виртуальной реальностью;Лофт, вечеринка, 102 м², 20 человек;+79852491213;N/A;https://www.reveltime.ru/venue/1872981?eventtype=vecherinka
VR клуб;Лофт, вечеринка, 110 м², 25 человек;+79652301835;N/A;https://www.reveltime.ru/venue/3601962?eventtype=vecherinka
Wave Studio( Студия Волна). Зал Гранд;Лофт, вечеринка, 105 м², 40 человек;+79893636021;N/A;https://www.reveltime.ru/venue/5655174?eventtype=vecherinka
West Loft (Вест лофт). Многофункциональный арт-лофт;Лофт, вечеринка, 210 м², 200 человек;+79584974150;N/A;https://www.reveltime.ru/venue/4058729?eventtype=vecherinka
