название;тип_лофт;телефон;сайт;ссылка
BLACK PANTHER ARENA Универсальный лофт с зеркальной стеной;Лофт, вечеринка, 120 м², 60 человек;;N/A;https://www.reveltime.ru/venue/3488091?eventtype=vecherinka
blackstage Многофункциональное пространство;Лофт, вечеринка, 150 м², 50 человек;;N/A;https://www.reveltime.ru/venue/1003550?eventtype=vecherinka
Blank (Бланк). Светлый лофт с верандой;Лофт, вечеринка, 120 м², 40 человек;+79676932714;N/A;https://www.reveltime.ru/venue/8931873?eventtype=vecherinka
blickstudio Солнечный зал;Лофт, вечеринка, 70 м², 20 человек;;N/A;https://www.reveltime.ru/venue/4361557?eventtype=vecherinka
Bogema (Богема). Зал Баланс;Лофт, вечеринка, 100 м², 60 человек;+79584974208;N/A;https://www.reveltime.ru/venue/9011819?eventtype=vecherinka
BOGEMA (БОГЕМА). Какао. ЭЙФОРИЯ;Лофт, вечеринка, 110 м², 50 человек;+79893636021;N/A;https://www.reveltime.ru/venue/3393175?eventtype=vecherinka
Bogema (Богема). Лофт Фрейм;Лофт, вечеринка, 240 м², 150 человек;+79584974206;N/A;https://www.reveltime.ru/venue/9009571?eventtype=vecherinka
BOGEMA. BALANCE (БОГЕМА. БАЛАНС). Универсальный лофт;Лофт, вечеринка, 100 м², 60 человек;+79584974139;N/A;https://www.reveltime.ru/venue/4062896?eventtype=vecherinka
Boutique Hotel Помещение с большими окнами;Лофт, вечеринка, 40 м², 30 человек;+79945064895;N/A;https://www.reveltime.ru/venue/3655970?eventtype=vecherinka
Brodniki Loft (Бродники Лофт. )Лофт из белого кирпича;Лофт, вечеринка, 80 м², 40 человек;+79676928564;N/A;https://www.reveltime.ru/venue/6587746?eventtype=vecherinka
BunkerStudio;Лофт, вечеринка, 110 м², 35 человек;;N/A;https://www.reveltime.ru/venue/2093734?eventtype=vecherinka
Campus loft (Кампус лофт). Просторный лофт;Лофт, вечеринка, 230 м², 150 человек;+79261003263;N/A;https://www.reveltime.ru/venue/3877537?eventtype=vecherinka
Campus loft (Кампус лофт). Просторный лофт;Лофт, вечеринка, 107 м², 50 человек;+79261003263;N/A;https://www.reveltime.ru/venue/1769333?eventtype=vecherinka
Casa Picassa. Лофт Климт (Каса Пикасса);Лофт, вечеринка, 26 м², 15 человек;+79586097164;N/A;https://www.reveltime.ru/venue/2764553?eventtype=vecherinka
Casa Picassa. Лофт Модильяни (Каса Пикасса);Лофт, вечеринка, 150 м², 100 человек;;N/A;https://www.reveltime.ru/venue/3315390?eventtype=vecherinka
Casa Picassa. Лофт Роден (Каса Пикасса);Лофт, вечеринка, 190 м², 80 человек;;N/A;https://www.reveltime.ru/venue/2978957?eventtype=vecherinka
Casa Picassa. Микеланджело (Каса Пикасса);Лофт, вечеринка, 110 м², 60 человек;;N/A;https://www.reveltime.ru/venue/3729045?eventtype=vecherinka
Casa Picassa. Рене Магритт (Каса Пикасса);Лофт, вечеринка, 110 м², 60 человек;;N/A;https://www.reveltime.ru/venue/3542002?eventtype=vecherinka
Cascad (Каскад). Лофт в центре Москвы с высоким потолком;Лофт, вечеринка, 90 м², 40 человек;+79584974160;N/A;https://www.reveltime.ru/venue/318101?eventtype=vecherinka
CASTLE LOFT. Круглый лофт в Кремле;Лофт, вечеринка, 100 м², 50 человек;;N/A;https://www.reveltime.ru/venue/575167?eventtype=vecherinka
CastleLoft (КаслЛофт);Лофт, вечеринка, 250 м², 150 человек;;N/A;https://www.reveltime.ru/venue/3286684?eventtype=vecherinka
Cat Factory (Фабрика кэт). Лофт-пространство с дизайнерскими окнами;Лофт, вечеринка, 72 м², 45 человек;+79584974150;N/A;https://www.reveltime.ru/venue/7777267?eventtype=vecherinka
Citrus Hall (Цитрус Зал). Бергамот;Лофт, вечеринка, 70 м², 30 человек;+79910172413;N/A;https://www.reveltime.ru/venue/5738655?eventtype=vecherinka
