id;option_value;name;source_url
89;100191;PRO.Хинкали;https://www.novikovgroup.ru/contacts/
90;100192;PRO.Хинкали;https://www.novikovgroup.ru/contacts/
91;100447;PRO.Хинкали;https://www.novikovgroup.ru/contacts/
92;98756;PRO.Хинкали на Дмитровской;https://www.novikovgroup.ru/contacts/
93;98922;PRO.Хинкали на Павелецкой;https://www.novikovgroup.ru/contacts/
94;101374;PRO.Хинкали Нижний Новгород;https://www.novikovgroup.ru/contacts/
95;100957;PRO.Хинкали Новороссийск;https://www.novikovgroup.ru/contacts/
96;110564;PRO.Хинкали Омск;https://www.novikovgroup.ru/contacts/
97;102738;PRO.Хинкали Павшинская Пойма;https://www.novikovgroup.ru/contacts/
98;100953;PRO.Хинкали Парк Культуры;https://www.novikovgroup.ru/contacts/
99;101936;PRO.Хинкали Переславль-Залесский;https://www.novikovgroup.ru/contacts/
100;100443;PRO.Хинкали Роза Хутор;https://www.novikovgroup.ru/contacts/
101;105606;PRO.Хинкали Ростов-на-Дону Стадионная;https://www.novikovgroup.ru/contacts/
102;110694;PRO.Хинкали Ростов-на-Дону, Новая Провинция;https://www.novikovgroup.ru/contacts/
103;98909;PRO.Хинкали Сочи;https://www.novikovgroup.ru/contacts/
104;102134;PRO.Хинкали Солнцево;https://www.novikovgroup.ru/contacts/
105;101938;PRO.Хинкали Chef's Красногорск Bazaar;https://www.novikovgroup.ru/contacts/
106;100949;PRO.Хинкали Санкт-Петербург, Галерея;https://www.novikovgroup.ru/contacts/
107;99213;PRO.Хинкали Ташкент;https://www.novikovgroup.ru/contacts/
108;105710;PRO.Хинкали Ташкент Шота Руставели;https://www.novikovgroup.ru/contacts/
109;101457;PRO.Хинкали Уфа;https://www.novikovgroup.ru/contacts/
110;100954;PRO.Хинкали Челябинск;https://www.novikovgroup.ru/contacts/
111;99058;PRO.Хинкали Черёмушкинский рынок;https://www.novikovgroup.ru/contacts/
112;16455;Savva;https://www.novikovgroup.ru/contacts/
113;16454;Shiba;https://www.novikovgroup.ru/contacts/
114;16453;Shore House;https://www.novikovgroup.ru/contacts/
115;16451;Sirena;https://www.novikovgroup.ru/contacts/
116;16450;Vodный;https://www.novikovgroup.ru/contacts/
117;16497;Аист;https://www.novikovgroup.ru/contacts/
118;16496;Бараshка на Арбате;https://www.novikovgroup.ru/contacts/
119;16495;Белое солнце пустыни;https://www.novikovgroup.ru/contacts/
120;16494;Веранда у дачи;https://www.novikovgroup.ru/contacts/
121;16493;Ветерок;https://www.novikovgroup.ru/contacts/
122;5681;Кафе Чайковский;https://www.novikovgroup.ru/contacts/
123;100194;Клёво;https://www.novikovgroup.ru/contacts/
124;98566;Клёво Авиапарк;https://www.novikovgroup.ru/contacts/
125;69400;Клёво Краснодар;https://www.novikovgroup.ru/contacts/
126;1111;Клёво Петровка;https://www.novikovgroup.ru/contacts/
127;110113;Клёво Ростов-на-Дону;https://www.novikovgroup.ru/contacts/
128;16490;Клёво Сириус;https://www.novikovgroup.ru/contacts/
129;99929;Клёво Сочи Морской Порт;https://www.novikovgroup.ru/contacts/
130;57288;Клёво Усачёвский;https://www.novikovgroup.ru/contacts/
131;100858;Клёво Южно-Сахалинск;https://www.novikovgroup.ru/contacts/
132;16489;Клёвое Бистро;https://www.novikovgroup.ru/contacts/
133;100195;Колбасный Цех;https://www.novikovgroup.ru/contacts/
134;16488;Колбасный Цех Авиапарк;https://www.novikovgroup.ru/contacts/
135;91400;Колбасный Цех Домодедово;https://www.novikovgroup.ru/contacts/
136;91399;Колбасный Цех Шереметьево;https://www.novikovgroup.ru/contacts/
137;100196;Магадан;https://www.novikovgroup.ru/contacts/
138;51715;Магадан Белая Площадь;https://www.novikovgroup.ru/contacts/
139;95853;Магадан Гостиный Двор;https://www.novikovgroup.ru/contacts/
140;51716;Магадан Красная Пресня;https://www.novikovgroup.ru/contacts/
141;95229;Магадан Краснодар;https://www.novikovgroup.ru/contacts/
142;11867;Магадан Красный Октябрь;https://www.novikovgroup.ru/contacts/
143;16485;Магадан Нижний Новгород;https://www.novikovgroup.ru/contacts/
144;94877;Магадан Новая Москва;https://www.novikovgroup.ru/contacts/
145;101039;Магадан Новосибирск;https://www.novikovgroup.ru/contacts/
146;101948;Магадан Пермь;https://www.novikovgroup.ru/contacts/
147;16484;Магадан Ростов-на-Дону;https://www.novikovgroup.ru/contacts/
148;93533;Магадан Сочи;https://www.novikovgroup.ru/contacts/
149;51717;Магадан Тула;https://www.novikovgroup.ru/contacts/
150;101837;Магадан Уфа;https://www.novikovgroup.ru/contacts/
151;51718;Магадан Шереметьево;https://www.novikovgroup.ru/contacts/
152;98760;Моя Звезда;https://www.novikovgroup.ru/contacts/
153;100530;Недальний Восток;https://www.novikovgroup.ru/contacts/
154;16482;Причал;https://www.novikovgroup.ru/contacts/
155;110290;Птичка by Novikov на Ленина, Новосибирск;https://www.novikovgroup.ru/contacts/
156;100513;Птичка by Novikov Новосибирск;https://www.novikovgroup.ru/contacts/
157;16481;Рыбинск;https://www.novikovgroup.ru/contacts/
158;16480;Рыбы нет;https://www.novikovgroup.ru/contacts/
159;100880;Сорренто Адлер;https://www.novikovgroup.ru/contacts/
160;99030;Pasta Casa 39;https://www.novikovgroup.ru/contacts/
161;101344;Сорренто Анапа;https://www.novikovgroup.ru/contacts/
162;100876;Сорренто Красная Поляна;https://www.novikovgroup.ru/contacts/
163;102061;Сорренто Ташкент;https://www.novikovgroup.ru/contacts/
164;99456;Сорренто Тюмень;https://www.novikovgroup.ru/contacts/
165;102065;Ramen Room Сочи;https://www.novikovgroup.ru/contacts/
166;16479;Спортсмены;https://www.novikovgroup.ru/contacts/
167;100185;Спортсмены;https://www.novikovgroup.ru/contacts/
168;99930;Спортсмены в Раздолье;https://www.novikovgroup.ru/contacts/
169;1231;Страна которой нет;https://www.novikovgroup.ru/contacts/
170;100186;Сыроварня;https://www.novikovgroup.ru/contacts/
171;100197;Сыроварня;https://www.novikovgroup.ru/contacts/
172;100198;Сыроварня;https://www.novikovgroup.ru/contacts/
173;100199;Сыроварня;https://www.novikovgroup.ru/contacts/
174;91401;Сыроварня Авиапарк;https://www.novikovgroup.ru/contacts/
175;101306;Сыроварня Алматы;https://www.novikovgroup.ru/contacts/
176;101327;Сыроварня Алтай;https://www.novikovgroup.ru/contacts/
177;1113;Сыроварня Альметьевск;https://www.novikovgroup.ru/contacts/
178;101299;Сыроварня Анапа;https://www.novikovgroup.ru/contacts/
179;57274;Сыроварня Архангельское Аутлет;https://www.novikovgroup.ru/contacts/
180;101251;Сыроварня Архыз;https://www.novikovgroup.ru/contacts/
181;101237;Сыроварня Астана ЖК The One;https://www.novikovgroup.ru/contacts/
182;101239;Сыроварня Астана Мега;https://www.novikovgroup.ru/contacts/
183;93100;Сыроварня Атриум;https://www.novikovgroup.ru/contacts/
184;16511;Сыроварня Баку;https://www.novikovgroup.ru/contacts/
185;101308;Сыроварня Барнаул;https://www.novikovgroup.ru/contacts/
186;90463;Сыроварня Большая Никитская;https://www.novikovgroup.ru/contacts/
187;98919;Сыроварня ВДНХ;https://www.novikovgroup.ru/contacts/
188;101218;Сыроварня Владивосток;https://www.novikovgroup.ru/contacts/
189;100846;Сыроварня Внуково;https://www.novikovgroup.ru/contacts/
190;100278;Сыроварня Волгоград;https://www.novikovgroup.ru/contacts/
191;16512;Сыроварня Воронеж;https://www.novikovgroup.ru/contacts/
192;101329;Сыроварня Воронеж Солнечный;https://www.novikovgroup.ru/contacts/
193;57330;Сыроварня Геленджик;https://www.novikovgroup.ru/contacts/
194;53712;Сыроварня Депо;https://www.novikovgroup.ru/contacts/
195;101170;Сыроварня Домодедово;https://www.novikovgroup.ru/contacts/
196;101241;Сыроварня Дубай Нахил Молл;https://www.novikovgroup.ru/contacts/
197;101244;Сыроварня Дубай Фестиваль Молл;https://www.novikovgroup.ru/contacts/
198;101214;Сыроварня Душанбе;https://www.novikovgroup.ru/contacts/
199;57376;Сыроварня Екатеринбург;https://www.novikovgroup.ru/contacts/
200;57382;Сыроварня Ереван;https://www.novikovgroup.ru/contacts/
201;99943;Сыроварня Ереван Площадь Республики;https://www.novikovgroup.ru/contacts/
202;91398;Сыроварня Жулебино;https://www.novikovgroup.ru/contacts/
203;101252;Сыроварня Зеленоград;https://www.novikovgroup.ru/contacts/
204;101246;Сыроварня Зиларт;https://www.novikovgroup.ru/contacts/
205;94618;Сыроварня Казань;https://www.novikovgroup.ru/contacts/
206;101309;Сыроварня Кемерово;https://www.novikovgroup.ru/contacts/
